insider_name,role,background,joined,wall_street_background,total_sold_shares,total_sold_value,remaining_ownership,sold_out
Huang Yuping,CEO / Chief Quantum Officer / 10% Owner,Founded QPhoton; quantum photonics researcher; joined via QPhoton acquisition,2022-06,No,1700000,21961900,21287718,No
Fagenson Robert B,Director / Vice Chairman / Audit Committee Chair,"Former NYSE Floor Governor; NYSE Board Vice Chairman; Managing partner Fagenson & Co (NYSE specialist firm 1970-2007); Vice Chairman National Holdings Corp",2021-02,Yes,100000,1556005,0,Yes
Boehmler Christopher,CFO,"Former CFO; left company and replaced by Roberts",Unknown,No,318885,5519082,351152,No
Roberts Christopher Bruce,CFO / General Counsel,"Current CFO and General Counsel; address: 5 Marine View Plaza Suite 214 Hoboken NJ",Unknown,No,78262,614499,1123038,No
Turmelle Michael C,Director,"Board director",Unknown,No,200986,2849981,0,Yes
Shabani Javad,Director,"Board director; sold out entirely across two tranches",Unknown,No,77447,1038586,0,Yes
Dianat Pouya,Chief Revenue Officer,"Chief Revenue Officer; sold out entirely after option exercise",Unknown,No,17175,266808,0,Yes
Begliarbekov Milan,COO,"Chief Operating Officer",Unknown,No,2860,33891,24240,No
Liscouski Robert,Former CEO / Chairman / Director,"CEO of Convergent Risk Group; acquired shell company for $155K in 2018; previously President of Implant Sciences Corp (filed bankruptcy 2016)",2018-02,No,0,0,Unknown,No
